period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.9,1.7236665271576777,1,5m,6,5,-3.297253671572017,-0.05495422785953361,-0.06415561287153021,0.16666666666666666,3.436001317523056,0.1968861778760355,-0.01934462028735363,-0.8946766392740954,-0.9847024500718298,-0.8243134178930043,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.85,1.5000079826371508,1,5m,13,5,-7.0015909886936365,-0.05385839222072027,-0.05334745762711851,0.23076923076923078,7.1194481315507785,0.1874740160296426,-0.023885112300336558,-1.9054100790513826,-2.4055749757384683,-1.750397747173409,0,4
POSTSEASON_FINAL_AUDIT,tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.95,1.9567040515379002,-1,5m,3,2,-3.1242424242424236,-0.1041414141414141,-0.08583333333333326,0.3333333333333333,0.858333333333333,0.22056322056322042,-0.030542179863105885,0.0,-0.8883522727272726,-0.7810606060606059,0,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.6,0.9527671418323564,-1,30m,16,9,-6.842504860559793,-0.04276565537849871,-0.018373015873015874,0.5,9.488063079939552,0.6866275401714922,-0.013829480111630616,-2.0319159335288353,-3.561486250670026,-1.710626215139948,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.7,1.1083703175196418,-1,30m,12,7,-13.210934804599496,-0.11009112337166248,-0.08728513356562134,0.3333333333333333,12.101026970498115,0.4125814840254816,-0.03231877995758735,-3.982862903225806,-4.569617162179185,-3.302733701149874,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.95,1.8248047448958737,1,15m,13,9,-11.45578283908014,-0.08812140645446262,-0.12014705882352955,0.15384615384615385,11.291705413238013,0.4998737690145593,-0.018494526841852925,-3.881985294117648,-5.316915296681197,-2.863945709770035,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.172298631049096,-1,30m,22,11,23.981965869952692,0.1090089357725122,-0.033635531135531194,0.4090909090909091,10.851565633305682,1.827205907772235,0.012468784764977458,-0.5757239340806146,4.137502686995011,5.995491467488172,2,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.95,1.8248047448958737,1,5m,17,9,-15.407048949630182,-0.09062969970370695,-0.10249999999999998,0.17647058823529413,15.270937838519071,0.22457183184124352,-0.013410513362181214,-2.547154731457799,-5.932627016242037,-3.851762237407545,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.85,0.15151380367311815,1,15m,41,12,-13.037430280393924,-0.03179861043998517,-0.065,0.2926829268292683,26.089353357317,0.7510702462078194,0.004620358621278631,-4.82178504949359,-8.675206020522934,-3.2593575700984805,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.95,0.2725838565132821,-1,30m,15,9,-10.316597002562403,-0.06877731335041602,-0.04096153846153855,0.4,10.902572959313009,0.45010599668990997,-0.009682181911554589,-3.902380198294753,-3.714949173211404,-2.579149250640601,1,4
POSTSEASON_FINAL_AUDIT,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.95,0.2725838565132821,-1,5m,28,9,-0.17178242256184556,-0.0006135086520065961,0.0030555555555555353,0.5,4.659641992491482,0.9802633215735769,0.010229549150601433,-0.760512023816629,-0.8258820752474512,-0.042945605640461446,2,4
