signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks,eligible_for_ranking,selection_rank
p11_v2_exact,P11_V2_EXACT,0.6,0.3359957097075061,-1,settle,41,41,39.458817676314155,0.09624101872271741,0.13386363636363646,0.7317073170731707,33.078869205006164,1.357821969406612,0.053189920305959704,8.624969654507078,3.8866307405401366,13.152939225438052,2,3,True,476.0
baseline_cumulative_epa,BASELINE,0.7,10.731233805418007,1,settle,24,24,14.357006023162835,0.05982085842984513,0.1403944618599791,0.8333333333333334,29.347311827956986,1.3580300753905945,0.05068066343195976,8.363727672015244,-0.10554996360522277,4.785668674387609,2,3,True,482.0
p11_cvw0.75_k0_c0.1_telapsed_sqrt,P11_V2_GRID,0.9,8.15187724264477,1,15m,30,13,18.09564283393675,0.060318809446455846,0.008369565217391243,0.5,21.789757061247307,1.4590346037294035,0.04638292085821984,8.177666547607737,1.2437384626950532,6.031880944645583,2,3,True,489.0
dq2_market_ridge_15m_a0.1,DQ2_MARKET_RIDGE,0.85,0.05217580331133778,-1,30m,35,21,-4.851251105958883,-0.013860717445596795,-0.022107843137254942,0.45714285714285713,33.99159488197098,0.9090698172411775,0.015641990372143724,7.6215382006798755,-8.272115209724161,-1.617083701986293,2,3,True,502.0
dq2_market_elastic_15m_a0.0001_l0.1,DQ2_MARKET_ELASTIC,0.85,0.051416789173050655,-1,30m,35,21,-4.851251105958883,-0.013860717445596795,-0.022107843137254942,0.45714285714285713,33.99159488197098,0.9090698172411775,0.015641990372143724,7.6215382006798755,-8.272115209724161,-1.617083701986293,2,3,True,502.0
dq2_market_hgb_30m_l31_r20,DQ2_MARKET_HGB,0.95,0.11890628522788009,1,15m,55,24,32.38428719128173,0.058880522165966745,0.011584507042253502,0.5272727272727272,25.678460248039237,1.5318784091128517,0.014224207963893959,5.960900393219079,3.791089834900731,10.794762397093907,2,3,True,581.0
baseline_current_dq_cumulative,BASELINE,0.8,6.1221352420007715,1,15m,48,17,-11.254217990225044,-0.02344628747963548,-0.06506109481915939,0.3958333333333333,65.18289279547585,0.8945540181475504,0.025519882221779987,3.4507504913405587,-15.17908146387064,-3.7514059967416764,2,3,True,708.0
dq2_market_ridge_15m_a1,DQ2_MARKET_RIDGE,0.9,0.06321858881101029,-1,15m,15,8,21.286851567286348,0.141912343781909,0.09750000000000009,0.6666666666666666,2.6916666666666664,4.823985311488565,0.05532020184202125,2.548160660660659,6.476172744651005,7.095617189095449,3,3,True,810.0
dq2_market_elastic_15m_a0.0001_l0.1,DQ2_MARKET_ELASTIC,0.9,0.06339515765692658,-1,15m,15,8,21.286851567286348,0.141912343781909,0.09750000000000009,0.6666666666666666,2.6916666666666664,4.823985311488565,0.05532020184202125,2.548160660660659,6.476172744651005,7.095617189095449,3,3,True,810.0
recent_epa_ewm20,RECENCY_BASELINE,0.95,0.6111921607939702,-1,15m,51,29,-1.283510688695931,-0.00251668762489397,-0.0025,0.47058823529411764,43.30972172988302,0.9866382702102154,0.045898313260354276,2.3192965010739925,-12.754345259433885,-0.42783689623197674,2,3,True,824.0
dq2_winprob_market_only_c0.1,DQ2_WINPROB_RESIDUAL,0.95,0.1804430487856752,1,5m,40,12,-7.479501679689827,-0.01869875419922457,-0.08416666666666661,0.325,18.896619879276326,0.8396411607779334,0.012877479638923838,1.6166666666666698,-6.424521497132218,-2.493167226563277,2,3,True,871.0
dq2_process_elastic_a0.01_l0.5_cum_margin,DQ2_EPA_ELASTIC,0.9,9.339132686546135,-1,5m,61,8,-16.725794863896574,-0.02741933584245339,-0.03375,0.39344262295081966,34.52968866927697,0.7102690841191787,0.016580025608038094,0.5394443864576974,-12.396139383270253,-5.57526495463219,2,3,True,989.0
p11_v2_exact,P11_V2_EXACT,0.9,0.7779313984309322,-1,15m,20,9,-2.7217680862824962,-0.013608840431412483,-0.013252688172043,0.45,4.985606478486455,0.7277144718412565,-0.0025300712348864775,-1.0140109890109898,-1.49584501198248,-0.9072560287608319,1,3,True,1279.0
p11_v2_exact,P11_V2_EXACT,0.8,0.5741461803163885,-1,30m,41,22,12.32248089356015,0.030054831447707694,0.009845679012345511,0.5365853658536586,19.0669042523562,1.3804103072394875,0.006827280317130589,-2.6612751077093555,-0.16521036165032812,4.107493631186718,1,3,True,1768.0
p11_v2_exact,P11_V2_EXACT,0.9,0.7779313984309322,-1,5m,32,8,-6.266043973595528,-0.019581387417486017,-0.0025,0.40625,8.806451203189354,0.6485866288732575,-0.0026435878912396456,-2.679672925281077,-3.277672390087199,-2.0886813245318425,0,3,True,1772.0
dq2_process_ridge_a0.1_process_ewm20,DQ2_EPA_RIDGE,0.95,0.4021632459526731,-1,5m,29,12,-17.575207507010496,-0.06060416381727756,-0.0025,0.3448275862068966,23.554768123783404,0.46309789606828927,0.012751349382110559,-3.1676982248341807,-10.59595754874528,-5.8584025023368325,1,3,True,1858.0
baseline_net_yards_007,BASELINE,0.9,7.385,-1,5m,48,10,-6.186986678866231,-0.012889555580971317,-0.007876344086021501,0.375,5.204696069573256,0.5661422160692333,0.004911188677843518,-3.4577913679708985,-3.4497826131004232,-2.062328892955411,1,3,True,1942.0
dq2_process_hgb_l15_r10_cum_margin,DQ2_EPA_HGB,0.9,9.605100764595276,-1,5m,42,11,-32.423100466753105,-0.07719785825417406,-0.07479965156794421,0.3333333333333333,40.71712597169192,0.5006221886656771,0.008503057154188467,-5.1552360543441065,-19.800180765363322,-10.807700155584369,1,3,True,2540.0
recent_net_yards_ewm20,RECENCY_BASELINE,0.95,5.844938924408473,1,5m,48,20,-9.049523605883785,-0.018853174178924556,-0.027881526104417628,0.3541666666666667,10.680064662665359,0.6513252524878409,0.0036660731292383272,-5.6447047336703084,-5.137865766684269,-3.0165078686279294,1,3,True,2731.0
