period,signal_id,family,threshold_quantile,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,bootstrap_mean_return_p025,bootstrap_mean_return_p50,bootstrap_mean_return_p975,bootstrap_probability_positive,top_game_abs_pnl_share,leave_one_game_out_min_pnl,leave_one_game_out_max_pnl,pnl_by_entry_price_bucket
REG_WEEKS_14_18_CONFIRMATION,dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.7,1,settle,69,69,2.8591357705425438,0.004143675029771771,-1.0025,0.43478260869565216,91.9541124736777,1.0073128352721854,0.0017127522370019384,-0.29541139794058885,0.0018872484002261099,0.3224462176419302,0.5054,0.04514415523432965,-32.57040968400292,12.884135770542542,"{"".15-.35"": 55.65793859924297, "".35-.65"": 31.715904205213747, "".65-.85"": -45.142395205957186, "".85-1"": 0.7276881720430101, ""0-.15"": -40.099999999999994}"
POSTSEASON_FINAL_AUDIT,dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.7,1,settle,12,12,18.89546520467978,0.15746221003899816,0.4717524916943522,0.5833333333333334,39.31632379248658,1.3769668868764045,0.11097871843519025,-0.429447015431548,0.16507572055948536,0.7458236179621653,0.6962,0.15566206015115805,0.3490366332512096,28.92046520467978,"{"".15-.35"": -1.5035714285714263, "".35-.65"": 18.796129656507013, "".85-1"": 1.6029069767441868}"
CONFIRMATION_PLUS_FINAL,dq2_market_hgb_15m_l31_r20,DQ2_MARKET_HGB,0.7,1,settle,81,81,21.75460097522231,0.02685753206817567,-1.0025,0.4567901234567901,91.9541124736777,1.0493189774999376,0.017900302784881694,-0.250717108065196,0.018518255089148724,0.3163800896219017,0.5482,0.039193943386451775,-13.674944479323152,31.77960097522231,"{"".15-.35"": 54.15436717067154, "".35-.65"": 50.51203386172077, "".65-.85"": -45.142395205957186, "".85-1"": 2.330595148787197, ""0-.15"": -40.099999999999994}"
REG_WEEKS_14_18_CONFIRMATION,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.8,-1,30m,199,69,29.302640765558255,0.014724945108320736,-0.0867105263157894,0.4371859296482412,105.01969445614176,1.066795427880941,0.011685746150651807,-0.10692397495292763,0.011120187759720979,0.16465424841367246,0.5646,0.1514107270040541,-65.76675869463068,49.43690002481752,"{"".15-.35"": 99.27079416708324, "".35-.65"": -26.55683285710835, "".65-.85"": -18.786365579530468, "".85-1"": -6.775748615679822, ""0-.15"": -17.84920634920634}"
POSTSEASON_FINAL_AUDIT,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.8,-1,30m,36,12,-8.124633876688064,-0.022568427435244603,-0.0025,0.4722222222222222,29.755423675124916,0.8439664842790667,0.0016492704682024195,-0.12748192436980163,-0.023902794807286278,0.08502760646527154,0.328,0.1856784749369737,-18.431776733830915,1.609419279458125,"{"".15-.35"": -4.586885663356252, "".35-.65"": -2.981676552814183, "".65-.85"": -2.5922565996095397, "".85-1"": 0.9052325581395343, ""0-.15"": 1.1309523809523814}"
CONFIRMATION_PLUS_FINAL,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.8,-1,30m,235,81,21.1780068888702,0.009011917825051157,-0.06807377049180335,0.4425531914893617,105.01969445614176,1.0431533045098242,0.010148243492914879,-0.09259833044614611,0.006533754679278786,0.13729995520476931,0.5532,0.1391120764388143,-73.89139257131875,41.31226614812947,"{"".15-.35"": 94.68390850372698, "".35-.65"": -29.538509409922533, "".65-.85"": -21.378622179140006, "".85-1"": -5.8705160575402875, ""0-.15"": -16.71825396825396}"
REG_WEEKS_14_18_CONFIRMATION,baseline_cumulative_epa,BASELINE,0.8,-1,30m,42,28,30.83310761181606,0.07341216098051451,-0.2506481481481482,0.3333333333333333,52.596747949825925,1.2171379025360691,0.020592452418735037,-0.2972776515186936,0.04310642617780848,0.6016799658363148,0.576,0.3160241428407897,-58.200225721517285,43.76273724144568,"{"".15-.35"": 13.963144241852689, "".35-.65"": -1.1836080586080584, ""0-.15"": 18.05357142857143}"
POSTSEASON_FINAL_AUDIT,baseline_cumulative_epa,BASELINE,0.8,-1,30m,8,5,-15.895767195767194,-0.19869708994708993,-0.09972222222222221,0.5,13.106481481481477,0.37996863004086345,-0.019906200432767068,-0.5868386243386243,-0.1986970899470899,0.1739021164021163,0.0936,0.28759193337139405,-20.870767195767193,-6.833730158730155,"{"".15-.35"": -10.58148148148148, ""0-.15"": -5.314285714285715}"
CONFIRMATION_PLUS_FINAL,baseline_cumulative_epa,BASELINE,0.8,-1,30m,50,33,14.937340416048858,0.029874680832097815,-0.22750000000000004,0.36,57.567413632119504,1.0891064135911401,0.014112667962494697,-0.2846942941793449,0.009752151865152527,0.4805418955803243,0.5182,0.2842339796724533,-74.09599291728446,27.8669700456785,"{"".15-.35"": 3.381662760371209, "".35-.65"": -1.1836080586080584, ""0-.15"": 12.739285714285714}"
REG_WEEKS_14_18_CONFIRMATION,baseline_cumulative_epa,BASELINE,0.7,1,settle,53,53,40.62962644885253,0.07665967254500472,0.13386363636363646,0.7547169811320755,53.311904731119576,1.3117561975741605,0.02108022665473382,-0.15596530464050182,0.06782696154754449,0.379664729344558,0.7034,0.18948873056115345,-16.459467510879016,50.654626448852525,"{"".15-.35"": -30.074999999999996, "".35-.65"": 17.590820453006323, "".65-.85"": -11.567244757773391, "".85-1"": 7.591956793888034, ""0-.15"": 57.08909395973154}"
POSTSEASON_FINAL_AUDIT,baseline_cumulative_epa,BASELINE,0.7,1,settle,9,9,6.553994150185696,0.07282215722428548,0.2962012987012987,0.7777777777777778,10.024999999999999,1.3268825012561445,0.045919662371095064,-0.3408768136791369,0.08477923132825228,0.4307618931742907,0.6612,0.21487978001900823,-0.3701583921871876,16.578994150185693,"{"".35-.65"": 12.772168415388757, "".65-.85"": -8.767765685019203, "".85-1"": 2.549591419816141}"
CONFIRMATION_PLUS_FINAL,baseline_cumulative_epa,BASELINE,0.7,1,settle,62,62,47.18362059903822,0.07610261386941644,0.1403944618599791,0.7580645161290323,63.336904731119574,1.3137730380650918,0.024685951194205608,-0.14082803767521906,0.06671660815761077,0.3254259430815132,0.7176,0.16408041815976598,-9.905473360693321,57.20862059903822,"{"".15-.35"": -30.074999999999996, "".35-.65"": 30.362988868395078, "".65-.85"": -20.335010442792594, "".85-1"": 10.141548213704175, ""0-.15"": 57.08909395973154}"
REG_WEEKS_14_18_CONFIRMATION,baseline_net_yards_007,BASELINE,0.9,-1,5m,32,14,8.84512700048327,0.027641021876510213,-0.01313950198075836,0.34375,9.512168308881519,1.4726740781215282,0.002391419214100148,-0.03595283912289758,0.022835206703477252,0.14472485804544857,0.6294,0.6616283538664162,-6.104872999516726,11.8243755737236,"{"".35-.65"": -1.7956647357810143, "".65-.85"": -2.162901659190895, "".85-1"": -2.1463066045448174, ""0-.15"": 14.949999999999996}"
POSTSEASON_FINAL_AUDIT,baseline_net_yards_007,BASELINE,0.9,-1,5m,9,3,-1.4874344552106278,-0.016527049502340314,-0.0025,0.3333333333333333,2.710965166655613,0.46919885287755136,0.00026190166957747635,-0.18711538461538463,-0.016527049502340314,0.014499504868790314,0.2834,0.8298266241178059,-1.7774245525864345,0.38371939094321794,"{"".35-.65"": -1.8711538461538462, "".65-.85"": 0.2899900973758063, "".85-1"": 0.09372929356741178}"
CONFIRMATION_PLUS_FINAL,baseline_net_yards_007,BASELINE,0.9,-1,5m,41,17,7.357692545272639,0.01794559157383571,-0.013026315789473717,0.34146341463414637,9.512168308881519,1.3419765595826931,0.0019239641433512688,-0.03518786176691617,0.014841947311086264,0.10976446443906009,0.624,0.601594162992211,-7.5923074547273535,10.336941118512971,"{"".35-.65"": -3.6668185819348604, "".65-.85"": -1.8729115618150889, "".85-1"": -2.0525773109774055, ""0-.15"": 14.949999999999996}"
